account_id,connector_id,store_key,store_name,store_number,store_chain,store_district,store_region,store_type,store_address,store_city,store_state,store_zip,store_country,store_latitude,store_longitude,store_manager,store_phone,store_status,ingestion_timestamp
ACC001,retail_connector,ST001,Downtown Main Store,1001,Metro Markets,District North,Northeast Region,Supermarket,123 Main Street,Boston,MA,02101,USA,42.3601,-71.0589,John Smith,(555) 123-4567,active,2024-01-15 08:00:00
ACC001,retail_connector,ST002,Westside Plaza,1002,Metro Markets,District West,Northeast Region,Hypermarket,456 Plaza Drive,Cambridge,MA,02139,USA,42.3736,-71.1097,Sarah Johnson,(555) 234-5678,active,2024-01-15 08:00:00
ACC001,retail_connector,ST003,Riverside Market,1003,Fresh Foods,District South,Northeast Region,Supermarket,789 River Road,Springfield,MA,01103,USA,42.1015,-72.5898,Mike Davis,(555) 345-6789,active,2024-01-15 08:00:00
ACC001,retail_connector,ST004,Hill Top Store,1004,Metro Markets,District North,Northeast Region,Convenience,321 Hill Avenue,Worcester,MA,01608,USA,42.2626,-71.8023,Lisa Wilson,(555) 456-7890,active,2024-01-15 08:00:00
ACC001,retail_connector,ST005,Coastal Fresh,1005,Fresh Foods,District East,Northeast Region,Supermarket,654 Ocean Boulevard,New Bedford,MA,02740,USA,41.6362,-70.9342,Robert Brown,(555) 567-8901,active,2024-01-15 08:00:00
ACC001,retail_connector,ST006,Valley Center,1006,Value Plus,District West,Northeast Region,Discount,987 Valley Street,Pittsfield,MA,01201,USA,42.4501,-73.2453,Jennifer Garcia,(555) 678-9012,active,2024-01-15 08:00:00
ACC001,retail_connector,ST007,Park Avenue,1007,Metro Markets,District Central,Northeast Region,Supermarket,147 Park Avenue,Lowell,MA,01854,USA,42.6334,-71.3162,David Martinez,(555) 789-0123,active,2024-01-15 08:00:00
ACC001,retail_connector,ST008,Suburban Plaza,1008,Fresh Foods,District South,Northeast Region,Hypermarket,258 Suburban Drive,Brockton,MA,02301,USA,42.0834,-71.0184,Amanda Taylor,(555) 890-1234,active,2024-01-15 08:00:00
ACC001,retail_connector,ST009,Express Stop,1009,Quick Mart,District North,Northeast Region,Convenience,369 Express Lane,Lawrence,MA,01840,USA,42.7070,-71.1631,Carlos Rodriguez,(555) 901-2345,active,2024-01-15 08:00:00
ACC001,retail_connector,ST010,Heritage Market,1010,Heritage Foods,District East,Northeast Region,Specialty,741 Heritage Road,Fall River,MA,02720,USA,41.7015,-71.1550,Michelle Lee,(555) 012-3456,active,2024-01-15 08:00:00 
